datetime,open,high,low,close,volume
"2025-01-24 15:45:00","142.17999","142.83600","141.89999","142.60040","14968998"
"2025-01-24 15:30:00","142.024994","142.69000","142.010101","142.19000","6516812"
"2025-01-24 15:15:00","142.24001","142.26990","141.91800","142.035004","5816322"
"2025-01-24 15:00:00","142.35001","142.38000","141.88000","142.24500","5712026"
"2025-01-24 14:45:00","142.22150","142.85001","142.21001","142.35001","4695581"
"2025-01-24 14:30:00","142.31000","142.55000","142.059998","142.22121","4118312"
"2025-01-24 14:15:00","142.18500","142.53999","141.95000","142.31010","6664949"
"2025-01-24 14:00:00","142.30000","142.60001","141.94009","142.19000","8098362"
"2025-01-24 13:45:00","142.91010","143.070007","142.28999","142.30000","10671853"
"2025-01-24 13:30:00","143.39000","143.57001","142.85001","142.91000","5077983"
"2025-01-24 13:15:00","142.93990","143.69501","142.93500","143.39000","5045418"
"2025-01-24 13:00:00","143.19000","143.5","142.62000","142.92999","7044238"
"2025-01-24 12:45:00","143.90109","144.16499","142.89999","143.20000","8400894"
"2025-01-24 12:30:00","144.42999","144.61540","143.85001","143.90891","5386201"
"2025-01-24 12:15:00","144.48500","144.77000","144.32001","144.43500","3907990"
"2025-01-24 12:00:00","144.35001","144.71001","144.14000","144.48010","5509188"
"2025-01-24 11:45:00","145.21001","145.39999","144.24001","144.35001","7527142"
"2025-01-24 11:30:00","145.19000","145.30000","144.92000","145.20000","5059802"
"2025-01-24 11:15:00","145.45500","145.53951","145.10001","145.20000","4302996"
"2025-01-24 11:00:00","145.14000","145.69000","144.92000","145.44000","6746583"
"2025-01-24 10:45:00","145.78500","145.79300","145.029999","145.14999","8279288"
"2025-01-24 10:30:00","146.039993","146.57001","145.47000","145.78999","7709861"
"2025-01-24 10:15:00","146.55000","146.62990","145.75999","146.050003","11614763"
"2025-01-24 10:00:00","147.86000","148.21001","146.48000","146.55000","10086179"
"2025-01-24 09:45:00","146.75","148.18500","146.72000","147.86000","11218294"
"2025-01-24 09:30:00","148.35750","148.97000","146.37000","146.76990","30385501"
"2025-01-27 15:45:00","118.39000","118.63000","117.83000","118.51000","40100856"
"2025-01-27 15:30:00","117.78000","118.58000","117.77500","118.39000","21563727"
"2025-01-27 15:15:00","117.98000","118.11000","117.050003","117.78000","20938310"
"2025-01-27 15:00:00","117.92000","118.75","117.65010","117.98010","17681244"
"2025-01-27 14:45:00","117.61500","117.99000","116.70000","117.91200","22463041"
"2025-01-27 14:30:00","118.80500","119.47000","117.55000","117.61010","17091730"
"2025-01-27 14:15:00","117.82050","119.010002","117.45000","118.80500","16561705"
"2025-01-27 14:00:00","117.83500","118.37000","117.36000","117.82000","18238719"
"2025-01-27 13:45:00","119.13130","119.14000","117.80000","117.83010","15382413"
"2025-01-27 13:30:00","117.87090","119.96000","117.82500","119.13740","15078389"
"2025-01-27 13:15:00","118.85000","119.095001","117.80000","117.875","15292586"
"2025-01-27 13:00:00","118.5","119.67000","118.5","118.85000","13047783"
"2025-01-27 12:45:00","119.98010","120.010002","118.49000","118.50500","18465554"
"2025-01-27 12:30:00","119.77000","121.015404","119.43000","119.99000","17652260"
"2025-01-27 12:15:00","120.16000","120.64000","119.010002","119.76000","17742836"
"2025-01-27 12:00:00","120.26000","121.75","120.014999","120.16000","24147372"
"2025-01-27 11:45:00","118.49500","120.85000","118.15000","120.27000","33151268"
"2025-01-27 11:30:00","119.14500","119.39000","117.26000","118.50100","44625541"
"2025-01-27 11:15:00","121.59500","122.010002","119","119.15000","33753069"
"2025-01-27 11:00:00","122.99000","123.30000","120.8","121.62000","33274095"
"2025-01-27 10:45:00","124.61500","124.84000","122.81000","122.99990","23744503"
"2025-01-27 10:30:00","124.019997","124.96000","123.80000","124.57000","21192470"
"2025-01-27 10:15:00","124.57000","124.69000","123.050003","124.029999","32998401"
"2025-01-27 10:00:00","126.87000","126.99000","124.44000","124.57000","31946436"
"2025-01-27 09:45:00","126.87050","127.67000","126.24000","126.88000","27392635"
"2025-01-27 09:30:00","124.79000","128.39999","124.20000","126.88010","151456946"
