datetime,open,high,low,close,volume
"2025-01-24 15:45:00","199.86000","200.28999","199.77000","200.20000","2367338"
"2025-01-24 15:30:00","199.89000","200.080002","199.78000","199.87000","878654"
"2025-01-24 15:15:00","200.19000","200.22771","199.49319","199.89999","937915"
"2025-01-24 15:00:00","200.059998","200.27000","199.99001","200.19000","523985"
"2025-01-24 14:45:00","200.24001","200.50870","200.0099945","200.059998","528359"
"2025-01-24 14:30:00","200.69000","200.78000","200.074997","200.25","584561"
"2025-01-24 14:15:00","200.039993","200.89999","199.98500","200.72110","957710"
"2025-01-24 14:00:00","199.92999","200.22990","199.73000","200.030106","573204"
"2025-01-24 13:45:00","199.83000","200.017700","199.75999","199.93010","644214"
"2025-01-24 13:30:00","199.91000","200.050003","199.77010","199.84250","487438"
"2025-01-24 13:15:00","200.039993","200.11000","199.66000","199.89999","484404"
"2025-01-24 13:00:00","199.83990","200.089996","199.74001","200.020004","593868"
"2025-01-24 12:45:00","199.58501","199.94000","199.45760","199.83501","730327"
"2025-01-24 12:30:00","199.25999","199.64990","199.21001","199.58009","401819"
"2025-01-24 12:15:00","199.14000","199.55750","199","199.28999","524016"
"2025-01-24 12:00:00","199.30000","199.43990","198.78999","199.14999","597086"
"2025-01-24 11:45:00","199.5","199.69000","199.16029","199.30000","443890"
"2025-01-24 11:30:00","199.42000","199.56000","199.21001","199.50771","513779"
"2025-01-24 11:15:00","198.52000","199.5","198.49001","199.39999","524047"
"2025-01-24 11:00:00","198.59000","198.73000","198.31000","198.53000","374361"
"2025-01-24 10:45:00","198.50500","198.94000","198.42999","198.60001","392055"
"2025-01-24 10:30:00","198.83000","199.22000","198.48000","198.52000","520038"
"2025-01-24 10:15:00","198.75240","199.029999","198.66000","198.82010","636607"
"2025-01-24 10:00:00","199.63000","199.75","198.64999","198.75481","712018"
"2025-01-24 09:45:00","199.55000","200.25","199.42010","199.59000","1177834"
"2025-01-24 09:30:00","198.17000","199.83000","198","199.52499","2018349"
"2025-01-27 15:45:00","191.72000","192","191.11000","191.81000","3848323"
"2025-01-27 15:30:00","191.21001","191.78000","190.73000","191.74001","1543013"
"2025-01-27 15:15:00","191.38499","191.86000","191.14999","191.19501","1288734"
"2025-01-27 15:00:00","191.55499","191.91000","191.10001","191.41499","1268232"
"2025-01-27 14:45:00","192.36000","192.58000","191.32001","191.55000","1406493"
"2025-01-27 14:30:00","193.84000","193.85989","192.33000","192.375","952381"
"2025-01-27 14:15:00","193.14999","194","193.14999","193.83000","674163"
"2025-01-27 14:00:00","193.085007","193.52000","193.050003","193.14000","619183"
"2025-01-27 13:45:00","193.28999","193.58501","193.014999","193.089996","599043"
"2025-01-27 13:30:00","193.31281","193.73500","193.11000","193.28999","574645"
"2025-01-27 13:15:00","193.34000","193.55000","193.14999","193.30000","485519"
"2025-01-27 13:00:00","193.44501","193.60001","193.16000","193.33000","619764"
"2025-01-27 12:45:00","193.85001","193.88000","193.35001","193.45000","469689"
"2025-01-27 12:30:00","193.74001","194.070007","193.43500","193.89000","448412"
"2025-01-27 12:15:00","193.98000","194.089996","193.22000","193.75","540582"
"2025-01-27 12:00:00","193.59000","194.28000","193.39999","194","574175"
"2025-01-27 11:45:00","194.46500","194.89999","193.37000","193.56570","716502"
"2025-01-27 11:30:00","194.63499","194.94000","194.29500","194.48000","1307601"
"2025-01-27 11:15:00","194.99001","195.11000","194.42400","194.64999","936067"
"2025-01-27 11:00:00","195.86501","195.94000","194.72009","194.98500","907410"
"2025-01-27 10:45:00","196.64000","196.66000","195.77000","195.85001","632879"
"2025-01-27 10:30:00","195.47000","196.88000","195.070007","196.625","1059268"
"2025-01-27 10:15:00","194.67999","195.55000","193.70000","195.5","1636768"
"2025-01-27 10:00:00","194.27000","195.16000","193.42000","194.71001","1599020"
"2025-01-27 09:45:00","193.14999","194.47000","192.98000","194.28000","2014884"
"2025-01-27 09:30:00","192.45000","194.75","192.33000","193.16000","6763353"
